	NL	NO	HU	RU	RO	DK	PL	KO	JP	ES	IT	FR	DE	CZ	PT	ZH	EN-2006	EN-2008	EN-2010	EN-2012	EN-2018	ALL-EN	ANY-EN	NOT-EN	ONLY-NOT-EN	ONLY-EN	MICROCANON	MACROCANON
NL	100.0	92.1	67.0	90.5	91.0	94.1	92.9	94.6	94.4	82.1	90.1	86.9	67.6	93.1	88.9	91.8	68.4	93.0	93.5	94.5	95.2	67.8	95.8	100.0	4.2	0.0	52.2	100.0
NO	88.73	100.0	66.47	93.64	94.32	92.0	94.22	91.04	92.0	80.25	91.43	85.26	68.4	92.77	88.44	91.23	69.17	94.32	93.26	92.1	91.52	65.99	96.15	100.0	3.85	0.0	50.29	100.0
HU	71.28	73.4	100.0	74.57	74.79	73.19	74.15	73.09	73.51	68.09	72.98	69.68	98.62	74.15	71.91	73.19	99.79	74.47	74.26	73.72	73.51	73.19	100.0	100.0	0.0	0.0	55.53	100.0
RU	90.95	97.69	70.45	100.0	99.5	93.97	95.98	93.27	94.27	83.72	93.37	88.84	72.66	94.87	90.75	93.27	73.37	95.88	95.38	94.47	93.87	69.95	97.89	100.0	2.11	0.0	52.46	100.0
RO	90.91	97.8	70.23	98.9	100.0	94.11	96.0	93.31	94.31	83.42	93.51	88.71	72.43	94.81	90.71	93.21	73.23	95.8	95.3	94.41	93.81	69.83	97.8	100.0	2.2	0.0	52.15	100.0
DK	88.61	89.92	64.78	88.04	88.7	100.0	90.96	91.53	92.75	79.47	87.66	84.93	65.54	91.71	87.29	90.11	66.29	91.15	92.09	92.94	92.0	65.63	93.6	100.0	6.4	0.0	49.15	100.0
PL	93.18	98.09	69.91	95.79	96.39	96.89	100.0	96.19	97.19	83.65	95.99	89.57	71.21	97.89	93.18	96.19	71.92	99.5	98.4	97.29	96.69	70.31	99.8	100.0	0.2	0.0	52.36	100.0
KO	95.27	95.17	69.18	93.45	94.06	97.89	96.58	100.0	98.39	84.29	93.15	90.33	69.89	97.08	92.35	95.77	70.69	96.78	97.48	98.69	99.4	70.19	99.8	100.0	0.2	0.0	52.57	100.0
JP	94.68	95.79	69.31	94.08	94.68	98.8	97.19	97.99	100.0	85.06	93.68	90.87	70.11	97.89	93.18	96.19	70.91	97.39	98.29	99.4	98.5	70.11	100.0	100.0	0.0	0.0	52.36	100.0
ES	82.26	83.47	64.13	83.47	83.67	84.57	83.57	83.87	84.97	100.0	82.57	81.96	64.73	84.17	81.16	82.97	65.53	83.77	84.57	85.57	84.87	64.43	86.87	100.0	13.13	0.0	52.3	100.0
IT	90.1	94.9	68.6	92.9	93.6	93.1	95.7	92.5	93.4	82.4	100.0	89.0	69.7	94.7	90.5	93.2	70.5	96.3	95.2	94.1	93.5	68.5	96.9	100.0	3.1	0.0	52.2	100.0
FR	86.81	88.41	65.43	88.31	88.71	90.11	89.21	89.61	90.51	81.72	88.91	100.0	66.23	89.41	86.21	88.41	66.93	89.11	89.91	90.81	90.01	65.63	92.21	100.0	7.79	0.0	52.15	100.0
DE	68.28	71.72	93.64	73.03	73.23	70.3	71.72	70.1	70.61	65.25	70.4	66.97	100.0	71.11	68.89	70.3	99.8	71.82	71.31	70.71	70.51	70.2	100.0	100.0	0.0	0.0	52.73	100.0
CZ	93.29	96.49	69.84	94.59	95.09	97.6	97.8	96.59	97.8	84.17	94.89	89.68	70.54	100.0	94.69	97.7	71.44	98.7	99.8	98.6	97.7	70.54	99.9	100.0	0.1	0.0	52.3	100.0
PT	89.08	91.98	67.74	90.48	90.98	92.89	93.09	91.88	93.09	81.16	90.68	86.47	68.34	94.69	100.0	93.19	69.14	93.99	95.09	93.79	92.99	68.04	95.29	100.0	4.71	0.0	52.3	100.0
ZH	92.26	95.18	69.15	93.27	93.77	96.18	96.38	95.58	96.38	83.22	93.67	88.94	69.95	97.99	93.47	100.0	70.75	97.29	98.39	97.39	96.58	69.55	98.89	100.0	1.11	0.0	52.46	100.0
EN-2006	68.47	71.87	93.89	73.07	73.37	70.47	71.77	70.27	70.77	65.47	70.57	67.07	98.9	71.37	69.07	70.47	100.0	71.97	71.47	70.87	70.67	70.57	100.0	100.0	0.0	0.0	52.25	100.0
EN-2008	92.91	97.8	69.93	95.3	95.8	96.7	99.1	96.0	97.0	83.52	96.2	89.11	71.03	98.4	93.71	96.7	71.83	100.0	98.9	97.7	97.1	70.43	100.0	100.0	0.0	0.0	52.15	100.0
EN-2010	93.41	96.7	69.73	94.81	95.3	97.7	98.0	96.7	97.9	84.32	95.1	89.91	70.53	99.5	94.81	97.8	71.33	98.9	100.0	98.7	97.8	70.43	100.0	100.0	0.0	0.0	52.15	100.0
EN-2012	94.41	95.5	69.23	93.91	94.41	98.6	96.9	97.9	99.0	85.31	94.01	90.81	69.93	98.3	93.51	96.8	70.73	97.7	98.7	100.0	99.0	70.43	100.0	100.0	0.0	0.0	52.15	100.0
EN-2018	94.92	94.72	68.89	93.12	93.62	97.41	96.11	98.4	97.91	84.45	93.22	89.83	69.59	97.21	92.52	95.81	70.39	96.91	97.61	98.8	100.0	70.29	100.0	99.6	0.0	0.4	52.04	100.0
ALL-EN	96.17	97.16	97.59	98.72	99.15	98.87	99.43	98.87	99.15	91.21	97.16	93.19	98.58	99.86	96.31	98.16	100.0	100.0	100.0	100.0	100.0	100.0	0.0	0.0	0.0	0.0	0.0	0.0
ANY-EN	72.8	75.84	71.43	74.01	74.39	75.53	75.61	75.3	75.76	65.88	73.63	70.14	75.23	75.76	72.26	74.77	75.91	76.06	76.06	76.06	76.22	0.0	100.0	0.0	0.0	0.0	0.0	0.0
NOT-EN	58.38	60.6	54.87	58.09	58.44	62.0	58.2	57.97	58.2	58.26	58.38	58.44	57.79	58.26	58.26	58.09	58.32	58.44	58.44	58.44	58.32	0.0	0.0	100.0	0.0	0.0	0.0	0.0
ONLY-NOT-EN	10.45	9.95	0.0	5.22	5.47	16.92	0.5	0.5	0.0	32.59	7.71	19.4	0.0	0.25	11.69	2.74	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0
ONLY-EN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	80.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0
MICROCANON	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	0.0	0.0	0.0	0.0	0.0	100.0	0.0
MACROCANON	58.21	60.42	54.71	57.92	58.27	61.82	58.03	57.8	58.03	58.09	58.21	58.27	57.63	58.09	58.09	57.92	58.15	58.27	58.27	58.27	58.38	0.0	0.0	0.0	0.0	0.0	0.0	100.0
